DATE,CUURA318SA0
2013-12-01,209.814
2014-01-01,.
2014-02-01,211.745
2014-03-01,.
2014-04-01,213.309
2014-05-01,.
2014-06-01,214.668
2014-07-01,.
2014-08-01,214.102
2014-09-01,.
2014-10-01,214.791
2014-11-01,.
2014-12-01,212.169
2015-01-01,.
2015-02-01,210.283
2015-03-01,.
2015-04-01,212.439
2015-05-01,.
2015-06-01,213.896
2015-07-01,.
2015-08-01,214.652
2015-09-01,.
2015-10-01,214.569
2015-11-01,.
2015-12-01,212.936
2016-01-01,.
2016-02-01,214.505
2016-03-01,.
2016-04-01,215.513
2016-05-01,.
2016-06-01,217.305
2016-07-01,.
2016-08-01,216.582
2016-09-01,.
2016-10-01,218.200
2016-11-01,.
2016-12-01,217.758
2017-01-01,.
2017-02-01,219.061
2017-03-01,.
2017-04-01,219.852
2017-05-01,.
2017-06-01,220.805
2017-07-01,.
2017-08-01,221.255
2017-09-01,.
2017-10-01,223.213
2017-11-01,.
2017-12-01,221.568
2018-01-01,.
2018-02-01,224.711
2018-03-01,.
2018-04-01,225.116
2018-05-01,.
2018-06-01,227.393
2018-07-01,.
2018-08-01,226.307
2018-09-01,.
2018-10-01,228.070
2018-11-01,.
2018-12-01,226.557
2019-01-01,.
2019-02-01,226.804
2019-03-01,.
2019-04-01,229.261
2019-05-01,.
2019-06-01,229.316
2019-07-01,.
2019-08-01,229.423
2019-09-01,.
2019-10-01,230.041
2019-11-01,.
2019-12-01,228.765
2020-01-01,.
2020-02-01,230.147
2020-03-01,.
2020-04-01,226.387
2020-05-01,.
2020-06-01,228.898
2020-07-01,.
2020-08-01,228.978
2020-09-01,.
2020-10-01,229.885
2020-11-01,.
2020-12-01,230.388
2021-01-01,.
2021-02-01,232.442
2021-03-01,.
2021-04-01,236.604
2021-05-01,.
2021-06-01,239.374
2021-07-01,.
2021-08-01,241.088
2021-09-01,.
2021-10-01,243.813
2021-11-01,.
2021-12-01,245.509
2022-01-01,.
2022-02-01,250.563
2022-03-01,.
2022-04-01,256.668
2022-05-01,.
2022-06-01,263.874
2022-07-01,.
2022-08-01,264.074
2022-09-01,.
2022-10-01,262.423
2022-11-01,.
2022-12-01,258.588
