DATE,WPU0571
2013-01-01,275.1
2013-02-01,301.9
2013-03-01,303.8
2013-04-01,297.2
2013-05-01,305.0
2013-06-01,302.5
2013-07-01,298.4
2013-08-01,304.9
2013-09-01,299.4
2013-10-01,285.0
2013-11-01,269.6
2013-12-01,268.8
2014-01-01,271.1
2014-02-01,276.9
2014-03-01,290.1
2014-04-01,305.6
2014-05-01,301.3
2014-06-01,306.1
2014-07-01,299.7
2014-08-01,295.4
2014-09-01,285.3
2014-10-01,257.0
2014-11-01,231.2
2014-12-01,194.3
2015-01-01,150.7
2015-02-01,159.8
2015-03-01,179.9
2015-04-01,179.1
2015-05-01,210.2
2015-06-01,214.3
2015-07-01,215.0
2015-08-01,199.3
2015-09-01,166.7
2015-10-01,159.4
2015-11-01,153.2
2015-12-01,138.6
2016-01-01,127.8
2016-02-01,112.7
2016-03-01,123.4
2016-04-01,140.6
2016-05-01,152.2
2016-06-01,164.4
2016-07-01,157.1
2016-08-01,149.0
2016-09-01,152.0
2016-10-01,160.5
2016-11-01,147.6
2016-12-01,155.2
2017-01-01,166.4
2017-02-01,166.7
2017-03-01,165.6
2017-04-01,176.2
2017-05-01,163.5
2017-06-01,162.5
2017-07-01,160.0
2017-08-01,169.3
2017-09-01,187.2
2017-10-01,175.4
2017-11-01,185.8
2017-12-01,179.4
2018-01-01,184.6
2018-02-01,190.1
2018-03-01,188.7
2018-04-01,202.9
2018-05-01,220.6
2018-06-01,222.3
2018-07-01,219.6
2018-08-01,217.1
2018-09-01,215.4
2018-10-01,222.2
2018-11-01,189.3
2018-12-01,156.7
2019-01-01,145.7
2019-02-01,153.2
2019-03-01,177.6
2019-04-01,207.4
2019-05-01,212.9
2019-06-01,195.6
2019-07-01,198.9
2019-08-01,189.0
2019-09-01,180.0
2019-10-01,185.9
2019-11-01,179.1
2019-12-01,174.5
2020-01-01,178.5
2020-02-01,167.0
2020-03-01,133.3
2020-04-01,62.6
2020-05-01,90.8
2020-06-01,122.5
2020-07-01,134.6
2020-08-01,133.5
2020-09-01,131.5
2020-10-01,131.3
2020-11-01,126.2
2020-12-01,139.2
2021-01-01,157.5
2021-02-01,171.8
2021-03-01,202.4
2021-04-01,206.4
2021-05-01,218.5
2021-06-01,224.1
2021-07-01,239.382
2021-08-01,234.195
2021-09-01,236.262
2021-10-01,250.577
2021-11-01,253.043
2021-12-01,231.624
2022-01-01,245.638
2022-02-01,275.038
2022-03-01,325.601
2022-04-01,320.296
2022-05-01,364.129
2022-06-01,414.562
2022-07-01,350.652
2022-08-01,295.590
2022-09-01,281.146
2022-10-01,293.875
2022-11-01,270.000
2022-12-01,218.021
