DATE,WPU081
2018-01-01,225.3
2018-02-01,237.0
2018-03-01,240.3
2018-04-01,238.4
2018-05-01,249.3
2018-06-01,254.5
2018-07-01,248.0
2018-08-01,231.7
2018-09-01,228.0
2018-10-01,214.2
2018-11-01,209.2
2018-12-01,211.2
2019-01-01,210.0
2019-02-01,215.8
2019-03-01,213.5
2019-04-01,212.6
2019-05-01,210.8
2019-06-01,205.6
2019-07-01,209.9
2019-08-01,208.9
2019-09-01,210.9
2019-10-01,208.6
2019-11-01,208.3
2019-12-01,210.0
2020-01-01,209.6
2020-02-01,215.2
2020-03-01,222.1
2020-04-01,204.5
2020-05-01,211.0
2020-06-01,225.1
2020-07-01,241.1
2020-08-01,270.2
2020-09-01,322.0
2020-10-01,301.3
2020-11-01,264.2
2020-12-01,291.5
2021-01-01,329.9
2021-02-01,343.9
2021-03-01,365.8
2021-04-01,390.3
2021-05-01,462.0
2021-06-01,444.3
2021-07-01,334.813
2021-08-01,283.260
2021-09-01,275.379
2021-10-01,288.295
2021-11-01,299.073
2021-12-01,346.950
2022-01-01,404.213
2022-02-01,422.316
2022-03-01,444.946
2022-04-01,384.474
2022-05-01,394.751
2022-06-01,318.471
2022-07-01,319.231
2022-08-01,307.332
2022-09-01,292.178
2022-10-01,282.917
2022-11-01,273.800
2022-12-01,261.540
