DATE,ATNHPIUS26420Q
2013-01-01,191.07
2013-04-01,194.95
2013-07-01,199.63
2013-10-01,204.33
2014-01-01,208.26
2014-04-01,215.82
2014-07-01,223.21
2014-10-01,226.97
2015-01-01,229.66
2015-04-01,236.30
2015-07-01,238.96
2015-10-01,239.29
2016-01-01,240.05
2016-04-01,245.27
2016-07-01,248.3
2016-10-01,248.89
2017-01-01,250.78
2017-04-01,255.69
2017-07-01,256.58
2017-10-01,259.71
2018-01-01,262.37
2018-04-01,266.64
2018-07-01,270.07
2018-10-01,269.97
2019-01-01,272.74
2019-04-01,277.35
2019-07-01,279.73
2019-10-01,281.06
2020-01-01,285.10
2020-04-01,289.11
2020-07-01,290.51
2020-10-01,294.90
2021-01-01,298.28
2021-04-01,311.87
2021-07-01,325.00
2021-10-01,336.58
2022-01-01,351.89
2022-04-01,367.13
2022-07-01,378.33
