Neighborhood,ZIP,2020 Median Home Price,5-Year Percent Growth (2015-2020),1-Year Percent Growth (2019-2020),Average Days on Market (2020),Average Square Feet,Persons Per Houehold (ZIP),Income Per Household (ZIP),Owner vs. Renter Ratio (ZIP)
1960/Cypress,77065,"$225,000 ",36.40%,11.60%,26.7,"2,279",2.58,"$75,972 ",0.87 : 1
Aldine Area,77073,"$174,990 ",41.10%,9.40%,33.5,"1,859",3.53,"$63,540 ",1.45 : 1
Alief,77072,"$190,000 ",32.90%,8.60%,42.5,"2,030",3.35,"$49,188 ",0.80 : 1
Alvin North,77583,"$287,879 ",33.90%,3.90%,71,"2,482",3.37,"$101,590 ",6.03 : 1
Alvin South,77511,"$224,686 ",45.60%,12.40%,52.9,"1,997",2.88,"$70,567 ",2.06 : 1
Atascocita North,77346,"$217,250 ",19.40%,5.50%,40.3,"2,460",3.05,"$112,863 ",4.40 : 1
Atascocita South,77346,"$237,912 ",20.50%,5.70%,37.3,"2,520",3.05,"$112,863 ",4.40 : 1
Bacliff/San Leon,77518,"$210,000 ",45.90%,17.50%,55.9,"1,765",2.88,"$68,314 ",1.61 : 1
Bayou Vista,77563,"$303,000 ",46.50%,12.20%,66.6,"1,562",2.48,"$66,976 ",2.38 : 1
Baytown/Chambers County,77523/77521,"$215,000 ",35.60%,3.10%,53.8,"2,120",2.88,"$70,437 ",1.52 : 1
Baytown/Harris County,77521,"$195,250 ",38.50%,8.50%,45.4,"1,922",2.88,"$70,437 ",1.52 : 1
Bear Creek South,77449,"$202,625 ",32.40%,6.00%,28.5,"2,094",3.45,"$79,758 ",2.89 : 1
Bellaire Area,77401,"$860,000 ",-7.00%,1.90%,72.9,"3,743",2.81,"$227,530 ",4.94 : 1
Braeswood Place,77025,"$744,500 ",5.60%,-6.90%,58.7,"3,411",2.15,"$117,964 ",0.70 : 1
Brays Oaks,77035,"$239,250 ",17.00%,12.70%,48.4,"2,085",2.73,"$66,163 ",0.74 : 1
Briargrove,77057,"$859,500 ",7.40%,2.40%,53.2,"3,271",2.06,"$93,612 ",0.43 : 1
Briargrove Park/WalnutBend,77042,"$456,000 ",5.90%,0.40%,52.7,"2,547",2.11,"$75,097 ",0.32 : 1
Briarmeadow/Tanglewilde,77063,"$330,000 ",12.60%,3.70%,56.4,"2,107",2.01,"$74,875 ",0.34 : 1
Brookshire,77493,"$207,900 ",-15.10%,9.50%,47.2,"1,908",3.17,"$95,043 ",4.10 : 1
Chambers County East,77514,"$203,995 ",65.10%,22.50%,68.4,"1,754",NA,NA,NA
Chambers County West,77523,"$331,155 ",32.00%,15.20%,55.1,"2,515",2.88,"$70,437 ",1.52 : 1
Champions Area,77379,"$256,100 ",15.40%,5.70%,43,"2,935",2.95,"$133,039 ",3.69 : 1
